iter	Passed	Remaining
550	2981	2429
551	2986	2424
552	2991	2418
553	2997	2413
554	3002	2407
555	3007	2401
556	3013	2396
557	3018	2391
558	3024	2385
559	3029	2380
560	3034	2374
561	3039	2368
562	3045	2363
563	3050	2357
564	3055	2352
565	3061	2347
566	3066	2341
567	3071	2335
568	3077	2330
569	3083	2325
570	3088	2320
571	3093	2315
572	3099	2309
573	3104	2304
574	3110	2298
575	3115	2293
576	3119	2287
577	3125	2281
578	3130	2276
579	3136	2271
580	3141	2265
581	3147	2260
582	3152	2254
583	3157	2249
584	3163	2244
585	3168	2238
586	3173	2232
587	3179	2227
588	3184	2222
589	3189	2216
590	3194	2211
591	3200	2205
592	3205	2199
593	3210	2194
594	3215	2188
595	3220	2183
596	3226	2178
597	3231	2172
598	3236	2166
599	3242	2161
600	3248	2156
601	3253	2150
602	3259	2146
603	3265	2140
604	3270	2135
605	3275	2129
606	3281	2124
607	3286	2118
608	3292	2113
609	3297	2108
610	3303	2102
611	3308	2097
612	3313	2092
613	3319	2086
614	3324	2081
615	3330	2075
616	3335	2070
617	3341	2065
618	3346	2059
619	3351	2054
620	3357	2048
621	3362	2043
622	3367	2037
623	3373	2032
624	3378	2027
625	3384	2021
626	3390	2017
627	3396	2011
628	3401	2006
629	3407	2001
630	3412	1995
631	3418	1990
632	3424	1985
633	3429	1979
634	3435	1974
635	3440	1969
636	3446	1963
637	3451	1958
638	3457	1953
639	3462	1947
640	3468	1942
641	3473	1937
642	3478	1931
643	3484	1926
644	3490	1920
645	3495	1915
646	3501	1910
647	3506	1905
648	3512	1899
649	3517	1894
650	3523	1889
651	3529	1883
652	3534	1878
653	3540	1873
654	3545	1867
655	3550	1862
656	3556	1856
657	3561	1851
658	3566	1845
659	3572	1840
660	3578	1835
661	3583	1829
662	3589	1824
663	3595	1819
664	3599	1813
665	3605	1808
666	3610	1802
667	3615	1796
668	3621	1791
669	3626	1785
670	3631	1780
671	3636	1774
672	3641	1769
673	3646	1763
674	3651	1758
675	3657	1752
676	3662	1747
677	3667	1741
678	3672	1736
679	3677	1730
680	3683	1725
681	3688	1719
682	3693	1714
683	3698	1708
684	3704	1703
685	3709	1698
686	3715	1692
687	3720	1687
688	3725	1681
689	3731	1676
690	3736	1670
691	3741	1665
692	3746	1659
693	3752	1654
694	3757	1648
695	3762	1643
696	3767	1637
697	3772	1632
698	3777	1626
699	3783	1621
700	3788	1615
701	3793	1610
702	3799	1605
703	3804	1599
704	3809	1594
705	3815	1588
706	3820	1583
707	3825	1577
708	3831	1572
709	3836	1567
710	3841	1561
711	3847	1556
712	3852	1550
713	3857	1545
714	3863	1540
715	3868	1534
716	3874	1529
717	3879	1523
718	3884	1518
719	3890	1512
720	3895	1507
721	3900	1501
722	3905	1496
723	3910	1490
724	3916	1485
725	3921	1480
726	3927	1474
727	3933	1469
728	3938	1463
729	3943	1458
730	3948	1453
731	3953	1447
732	3959	1442
733	3964	1436
734	3970	1431
735	3975	1425
736	3980	1420
737	3985	1414
738	3990	1409
739	3996	1404
740	4001	1398
741	4006	1393
742	4012	1387
743	4017	1382
744	4022	1376
745	4027	1371
746	4033	1366
747	4038	1360
748	4043	1355
749	4049	1349
750	4054	1344
751	4059	1338
752	4064	1333
753	4069	1327
754	4075	1322
755	4080	1317
756	4086	1311
757	4091	1306
758	4096	1300
759	4101	1295
760	4107	1289
761	4113	1284
762	4118	1279
763	4123	1273
764	4129	1268
765	4134	1263
766	4139	1257
767	4145	1252
768	4150	1246
769	4155	1241
770	4161	1235
771	4166	1230
772	4172	1225
773	4177	1219
774	4182	1214
775	4188	1208
776	4193	1203
777	4199	1198
778	4204	1192
779	4210	1187
780	4215	1182
781	4220	1176
782	4226	1171
783	4231	1165
784	4236	1160
785	4242	1155
786	4247	1149
787	4252	1144
788	4258	1138
789	4263	1133
790	4268	1127
791	4274	1122
792	4279	1117
793	4285	1111
794	4290	1106
795	4296	1101
796	4301	1095
797	4307	1090
798	4312	1084
799	4317	1079
800	4323	1074
801	4329	1068
802	4335	1063
803	4342	1058
804	4348	1053
805	4354	1048
806	4360	1042
807	4366	1037
808	4372	1032
809	4378	1027
810	4383	1021
811	4389	1016
812	4394	1010
813	4400	1005
814	4406	1000
815	4412	994
816	4417	989
817	4424	984
818	4430	979
819	4436	973
820	4443	968
821	4448	963
822	4454	958
823	4459	952
824	4465	947
825	4471	941
826	4477	936
827	4482	931
828	4488	925
829	4494	920
830	4499	915
831	4504	909
832	4510	904
833	4516	898
834	4522	893
835	4527	888
836	4532	882
837	4538	877
838	4544	871
839	4549	866
840	4555	861
841	4561	855
842	4566	850
843	4572	845
844	4577	839
845	4583	834
846	4589	829
847	4594	823
848	4599	818
849	4605	812
850	4610	807
851	4615	801
852	4621	796
853	4626	790
854	4631	785
855	4637	780
856	4642	774
857	4648	769
858	4653	763
859	4658	758
860	4664	752
861	4669	747
862	4674	742
863	4679	736
864	4685	731
865	4690	725
866	4696	720
867	4701	714
868	4706	709
869	4711	704
870	4717	698
871	4722	693
872	4728	687
873	4733	682
874	4738	676
875	4743	671
876	4749	666
877	4754	660
878	4760	655
879	4765	649
880	4770	644
881	4776	638
882	4782	633
883	4787	628
884	4792	622
885	4798	617
886	4803	611
887	4808	606
888	4813	601
889	4818	595
890	4823	590
891	4829	584
892	4835	579
893	4840	573
894	4845	568
895	4851	563
896	4856	557
897	4861	552
898	4866	546
899	4872	541
900	4877	535
901	4883	530
902	4888	525
903	4893	519
904	4898	514
905	4903	508
906	4909	503
907	4914	497
908	4919	492
909	4924	487
910	4930	481
911	4935	476
912	4940	470
913	4946	465
914	4950	459
915	4956	454
916	4961	449
917	4967	443
918	4972	438
919	4977	432
920	4982	427
921	4988	421
922	4993	416
923	4998	411
924	5003	405
925	5009	400
926	5014	394
927	5019	389
928	5024	384
929	5030	378
930	5035	373
931	5040	367
932	5046	362
933	5051	356
934	5056	351
935	5061	346
936	5066	340
937	5072	335
938	5077	329
939	5082	324
940	5088	319
941	5093	313
942	5098	308
943	5103	302
944	5109	297
945	5114	291
946	5119	286
947	5125	281
948	5130	275
949	5136	270
950	5141	264
951	5146	259
952	5151	254
953	5157	248
954	5162	243
955	5167	237
956	5173	232
957	5178	227
958	5183	221
959	5188	216
960	5194	210
961	5199	205
962	5204	199
963	5210	194
964	5215	189
965	5221	183
966	5227	178
967	5231	172
968	5237	167
969	5242	162
970	5247	156
971	5253	151
972	5259	145
973	5264	140
974	5269	135
975	5275	129
976	5281	124
977	5286	118
978	5292	113
979	5297	108
980	5303	102
981	5308	97
982	5314	91
983	5320	86
984	5326	81
985	5331	75
986	5337	70
987	5343	64
988	5348	59
989	5354	54
990	5360	48
991	5365	43
992	5370	37
993	5376	32
994	5381	27
995	5387	21
996	5393	16
997	5398	10
998	5404	5
999	5411	0
